Name,Fide ID,Nascimento,Place of Birth,Death,Date they became Grandmaster,Federation,Sexo,Age they became Grandmaster
"Szabó, Krisztián",722901.0,1989-06-21 00:00:00,Székesfehérvár,,2010,Hungary,M,21.0
"Szabó, László",,1917-03-19 00:00:00,Budapest,1998-08-08 00:00:00,1950,Hungary,M,33.0
"Székely, Péter",700258.0,1955-02-08 00:00:00,Budapest,2003-08-31 00:00:00,1994,Hungary,M,39.0
"Tabatabaei, Amin",12521213.0,2001-02-05 00:00:00,Tehran,,2018,Iran,M,17.0
"Tadić, Branko",916412.0,1973-10-04 00:00:00,Belgrade,,2010,Serbia,M,37.0
"Tahirov, Farhad",13401661.0,1987-04-12 00:00:00,,,2002,Azerbaijan,M,15.0
"Taimanov, Mark",4100760.0,1926-02-07 00:00:00,Kharkov,2016-11-28 00:00:00,1952,Russia,M,26.0
"Tal, Mikhail",,1936-11-09 00:00:00,Riga,1992-06-28 00:00:00,1957,Soviet Union • Ukraine • Latvia,M,21.0
"Taleb, Moussa",9300201.0,1978-07-01 00:00:00,Dubai,,2004,United Arab Emirates,M,26.0
"Talla, Vladimir",303445.0,1973-07-03 00:00:00,Ostrava,,2010,Czechoslovakia,M,37.0
"Tan, Justin",3206882.0,1997-03-19 00:00:00,Cardiff,,2018,Australia,M,21.0
"Tan, Zhongyi",8603642.0,1991-05-29 00:00:00,Chongqing,,2017,China,F,26.0
"Tang, Andrew",2059630.0,1999-11-29 00:00:00,Naperville,,2018,United States,M,19.0
"Tari, Aryan",1510045.0,1999-06-04 00:00:00,Stavanger,,2016,Norway,M,17.0
"Tarjan, James",2000180.0,1952-02-22 00:00:00,"Pomona, California",,1976,United States,M,24.0
"Tarlev, Konstantin",14114089.0,1987-02-09 00:00:00,,,2013,Ukraine,M,26.0
"Tartakower, Savielly",,1887-02-21,Rostov-on-Don,1956-02-05 00:00:00,1950,France,M,63.0
"Tazbir, Marcin",1122452.0,1988-08-22 00:00:00,Piotrków Trybunalski,,2013,Poland,M,25.0
"Temirbayev, Serik",13700022.0,1961-08-08 00:00:00,,,1995,Kazakhstan,M,34.0
"Ten Hertog, Hugo",1026356.0,1994-07-06 00:00:00,Utrecht,,2020,Netherlands,M,26.0
"Ter-Sahakyan, Samvel",13302531.0,1993-09-19 00:00:00,,,2009,Armenia,M,16.0
"Teschner, Rudolf",4603850.0,1922-02-16 00:00:00,Potsdam,2006-07-23 00:00:00,1992,West Germany • Germany,M,70.0
"Teske, Henrik",4611500.0,1968-02-28 00:00:00,,,1996,Germany,M,28.0
"Teterev, Vitaly",13501429.0,1983-01-07 00:00:00,Navapolatsk,,2007,Belarus,M,24.0
"Thejkumar, M. S.",5009154.0,1981-01-01 00:00:00,Mysore,,2017,India,M,36.0
"Thipsay, Praveen",5000033.0,1959-08-12 00:00:00,Mumbai,,1997,India,M,38.0
"Thorfinnsson, Bragi",2300958.0,1981-04-10 00:00:00,Reykjavík,,2018,Iceland,M,37.0
"Thórhallsson, Thröstur",2300109.0,1969-03-19 00:00:00,,,1996,Iceland,M,27.0
"Thybo, Jesper Søndergaard",1438832.0,1999-01-10 00:00:00,,,2020,Denmark,M,21.0
"Tihonov, Jurij",13500325.0,1978-07-03 00:00:00,Minsk,,2006,Belarus,M,28.0
"Tikkanen, Hans",1706446.0,1985-02-06 00:00:00,Karlstad,,2010,Sweden,M,25.0
"Tilicheev, Viacheslav",24114928.0,1994-07-17 00:00:00,,,2020,Russia,M,26.0
"Timman, Jan",1000012.0,1951-12-14 00:00:00,Amsterdam,,1974,Netherlands,M,23.0
"Timofeev, Artyom",4140419.0,1985-01-06 00:00:00,Kazan,,2003,Russia,M,18.0
"Timoscenko, Gennadij",14901536.0,1949-04-27 00:00:00,Cheliabinsk,,1980,Soviet Union • Slovakia,M,31.0
"Timoshenko, Georgy",14100118.0,1966-06-01 00:00:00,Kiev,,1994,Ukraine,M,28.0
